,Prevalence_of_Most_Common_Pitch,Prevalence_of_Most_Common_Pitch_Class,Relative_Prevalence_of_Top_Pitches,Relative_Prevalence_of_Top_Pitch_Classes,Pitch_Variability,Pitch_Class_Variability,Distance_Between_Most_Prevalent_Melodic_Intervals,Prevalence_of_Most_Common_Melodic_Interval,Relative_Prevalence_of_Most_Common_Melodic_Intervals,Repeated_Notes,Chromatic_Motion,Stepwise_Motion,Melodic_Thirds,Melodic_Perfect_Fourths,Melodic_Tritones,Melodic_Perfect_Fifths,Melodic_Sixths,Melodic_Sevenths,Melodic_Octaves,Melodic_Large_Intervals,Direction_of_Melodic_Motion,Average_Interval_Spanned_by_Melodic_Arcs,Prevalence_of_Very_Short_Rhythmic_Values,Prevalence_of_Short_Rhythmic_Values,Prevalence_of_Medium_Rhythmic_Values,Prevalence_of_Long_Rhythmic_Values,Prevalence_of_Very_Long_Rhythmic_Values,Prevalence_of_Most_Common_Rhythmic_Value,Relative_Prevalence_of_Most_Common_Rhythmic_Values,Rhythmic_Value_Variability,Variability_in_Rhythmic_Value_Run_Lengths,Rhythmic_Variability_-_Tempo_Standardized,Rhythmic_Variability
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--1.midi",0.06586, 0.1394, 0.9029, 0.9862, 10.17, 3.514, 1.0, 0.1252, 0.7872, 0.001999, 0.0986, 0.2239, 0.08994, 0.03065, 0.01799, 0.03131, 0.05863, 0.03664, 0.03931, 0.4697, 0.48, 17.34, 0.8983, 0.9501, 0.09719, 0.01215, 0.001918, 0.4872, 0.8438, 0.3951, 1.124, 0.00693, 0.00693
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--1.midi",0.06647, 0.1573, 0.9778, 0.9765, 9.749, 3.427, 1.0, 0.1045, 0.6617, 0.01021, 0.06441, 0.1689, 0.1092, 0.04713, 0.02671, 0.05263, 0.1115, 0.03771, 0.0487, 0.3873, 0.4762, 15.83, 0.03767, 0.274, 0.8959, 0.1285, 0.01551, 0.2755, 0.8579, 1.056, 0.7433, 0.009667, 0.009667
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--1.midi",0.059, 0.1479, 0.9143, 0.9801, 11.02, 3.447, 1.0, 0.1076, 0.716, 0.004427, 0.06729, 0.1749, 0.1213, 0.04117, 0.02036, 0.0363, 0.0757, 0.03807, 0.02966, 0.4582, 0.4673, 18.47, 0.9389, 0.9574, 0.05478, 0.008428, 0.001264, 0.6304, 1.0, 0.4785, 3.636, 0.007545, 0.007545
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_03_R2_2015_wav--2.midi",0.07323, 0.1685, 0.902, 0.9188, 11.2, 3.315, 9.0, 0.131, 0.9806, 0.01508, 0.03315, 0.09243, 0.2101, 0.06182, 0.04748, 0.05525, 0.103, 0.03703, 0.131, 0.2468, 0.4177, 17.38, 0.7795, 0.8666, 0.1996, 0.03761, 0.004652, 0.6168, 1.0, 0.7212, 10.63, 0.006493, 0.006493
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--1.midi",0.06845, 0.1536, 0.9268, 0.9728, 9.441, 3.384, 1.0, 0.182, 0.5952, 0.0026, 0.1083, 0.2903, 0.1049, 0.0286, 0.01993, 0.04419, 0.07799, 0.03986, 0.03813, 0.3536, 0.5083, 15.18, 0.571, 0.7087, 0.384, 0.0818, 0.01419, 0.328, 0.7405, 1.2, 1.127, 0.008164, 0.008164
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_13_R1_2015_wav--1.midi",0.07591, 0.1511, 0.8545, 0.9224, 9.644, 3.415, 1.0, 0.1291, 0.7443, 0.002201, 0.09611, 0.2252, 0.08144, 0.04475, 0.01467, 0.05062, 0.07997, 0.03448, 0.02494, 0.4417, 0.4625, 15.67, 0.4596, 0.7709, 0.51, 0.06763, 0.01035, 0.3485, 0.8931, 0.9141, 1.715, 0.009872, 0.009872
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--1.midi",0.08641, 0.1748, 0.7863, 0.9057, 9.675, 3.489, 1.0, 0.1045, 0.8095, 0.00995, 0.04762, 0.1322, 0.1642, 0.0462, 0.02985, 0.05046, 0.0995, 0.04407, 0.06681, 0.3568, 0.4472, 15.44, 0.08641, 0.2038, 0.8311, 0.1755, 0.02111, 0.3272, 0.6774, 1.177, 0.8541, 0.009175, 0.009175
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_05_R1_2015_wav--1.midi",0.05721, 0.1736, 0.9831, 0.838, 13.01, 3.422, 2.0, 0.08672, 0.9449, 0.007511, 0.04848, 0.08774, 0.142, 0.08194, 0.06419, 0.05087, 0.125, 0.04916, 0.07033, 0.3213, 0.4757, 17.54, 0.8332, 0.8953, 0.1616, 0.01875, 6.464E-4, 0.6587, 1.0, 0.4132, 5.44, 0.006356, 0.006356
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_13_R2_2015_wav--4.midi",0.04353, 0.1814, 0.9791, 0.8492, 16.96, 3.325, 9.0, 0.1162, 0.6348, 0.0124, 0.07362, 0.1348, 0.1283, 0.04621, 0.02467, 0.05691, 0.08706, 0.03459, 0.1162, 0.3588, 0.4644, 23.0, 0.9324, 0.9703, 0.06336, 0.007863, 7.977E-4, 0.8108, 1.0, 0.3224, 16.46, 0.006502, 0.006502
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_12_R1_2015_wav--1.midi",0.05352, 0.1406, 0.9767, 1.0, 10.17, 3.495, 1.0, 0.2017, 0.8006, 6.382E-4, 0.1615, 0.3631, 0.05616, 0.02297, 0.01914, 0.02936, 0.07594, 0.01468, 0.02872, 0.3893, 0.4591, 16.85, 0.5227, 0.7268, 0.4729, 0.009956, 6.223E-4, 0.2732, 1.0, 0.4717, 1.059, 0.00735, 0.00735
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--1.midi",0.07481, 0.1638, 0.8276, 0.935, 9.828, 3.619, 1.0, 0.1124, 0.8127, 0.004754, 0.06689, 0.1582, 0.1579, 0.03599, 0.03022, 0.0489, 0.09576, 0.05806, 0.04992, 0.3603, 0.4572, 15.02, 0.891, 0.969, 0.1038, 0.007417, 0.0, 0.5124, 0.7388, 0.2851, 1.454, 0.007551, 0.007551
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_06_R2_2015_wav--4.midi",0.05944, 0.168, 0.9031, 0.7631, 14.5, 3.405, 9.0, 0.1382, 0.6134, 0.007361, 0.04549, 0.1191, 0.1363, 0.06323, 0.0336, 0.03718, 0.05549, 0.02605, 0.1382, 0.3835, 0.4499, 22.89, 0.7973, 0.8974, 0.1892, 0.01964, 0.00508, 0.5323, 1.0, 0.6161, 2.469, 0.006334, 0.006334
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_08_R2_2015_wav--3.midi",0.05928, 0.1766, 0.753, 0.739, 14.88, 3.59, 2.0, 0.1041, 0.7435, 0.01152, 0.0774, 0.1427, 0.1607, 0.05454, 0.04129, 0.0484, 0.08335, 0.02439, 0.06856, 0.3645, 0.4813, 19.4, 0.7956, 0.8964, 0.1997, 0.01157, 0.001627, 0.5661, 1.0, 0.4505, 2.576, 0.006421, 0.006421
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--6.midi",0.06215, 0.1761, 0.9318, 0.9599, 14.69, 3.409, 11.0, 0.1505, 0.8702, 0.001056, 0.1505, 0.2788, 0.113, 0.1077, 0.0169, 0.04118, 0.02323, 0.02429, 0.1309, 0.2629, 0.4371, 20.69, 0.8602, 0.9044, 0.1299, 0.02589, 0.001883, 0.556, 1.0, 0.5, 2.805, 0.006475, 0.006475
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_13_R2_2015_wav--3.midi",0.1048, 0.1743, 0.763, 0.8708, 9.129, 3.465, 1.0, 0.1938, 0.8082, 3.956E-4, 0.00712, 0.0625, 0.3505, 0.1377, 0.03125, 0.0447, 0.05419, 0.02848, 0.06725, 0.2231, 0.5176, 13.85, 0.5947, 0.7057, 0.3459, 0.1285, 0.007376, 0.3568, 1.0, 1.073, 1.151, 0.006429, 0.006429
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--1.midi",0.06936, 0.189, 0.8974, 0.7365, 10.15, 3.33, 1.0, 0.122, 0.5462, 4.693E-4, 0.06664, 0.1886, 0.09385, 0.04693, 0.01642, 0.05725, 0.08306, 0.02675, 0.04317, 0.4435, 0.4704, 16.67, 0.8702, 0.924, 0.1241, 0.008004, 0.002223, 0.5016, 0.7349, 0.4238, 1.724, 0.007351, 0.007351
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_15_R2_2015_wav--2.midi",0.07329, 0.1621, 0.9013, 0.9678, 11.32, 3.323, 9.0, 0.1239, 0.9572, 0.01651, 0.03816, 0.1039, 0.199, 0.06224, 0.04861, 0.05437, 0.09632, 0.03953, 0.1239, 0.2556, 0.4344, 17.56, 0.7564, 0.8332, 0.2148, 0.05681, 0.004824, 0.5818, 1.0, 0.7892, 9.678, 0.006433, 0.006433
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_10_R1_2015_wav--1.midi",0.06209, 0.1538, 0.9536, 0.9786, 9.559, 3.411, 1.0, 0.1319, 0.9256, 0.005551, 0.1221, 0.2541, 0.09735, 0.0316, 0.0205, 0.03672, 0.08582, 0.03843, 0.03715, 0.3928, 0.4641, 15.29, 0.5345, 0.7442, 0.4428, 0.05099, 0.004934, 0.2899, 1.0, 0.767, 1.279, 0.006639, 0.006639
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--3.midi",0.03971, 0.1099, 0.9909, 0.976, 13.07, 3.451, 10.0, 0.136, 0.7671, 0.007331, 0.03718, 0.1732, 0.177, 0.07933, 0.06074, 0.06231, 0.08077, 0.03901, 0.1043, 0.216, 0.4655, 15.41, 0.8053, 0.8829, 0.1725, 0.02987, 0.004919, 0.5567, 1.0, 0.7109, 3.248, 0.006484, 0.006484
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_11_R1_2015_wav--1.midi",0.06834, 0.1739, 0.9013, 0.9418, 10.46, 3.475, 1.0, 0.1011, 0.9293, 0.01911, 0.07114, 0.1723, 0.1542, 0.05871, 0.02361, 0.04505, 0.101, 0.04396, 0.06928, 0.3128, 0.4746, 16.28, 0.6115, 0.7718, 0.363, 0.06497, 0.001613, 0.4144, 1.0, 0.7142, 2.512, 0.007072, 0.007072
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--2.midi",0.05075, 0.1837, 0.9603, 0.9766, 14.98, 3.563, 1.0, 0.1289, 0.8501, 0.01268, 0.06472, 0.1743, 0.1906, 0.05057, 0.02536, 0.03155, 0.05617, 0.01858, 0.08315, 0.3571, 0.482, 22.57, 0.7595, 0.8827, 0.2254, 0.02739, 5.371E-4, 0.436, 1.0, 0.5047, 3.703, 0.00654, 0.00654
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--6.midi",0.0906, 0.2957, 0.8267, 0.3987, 16.0, 3.283, 11.0, 0.1789, 0.7994, 0.03426, 0.143, 0.2029, 0.0696, 0.03534, 0.01511, 0.03318, 0.06501, 0.02886, 0.1789, 0.3369, 0.4682, 21.01, 0.9613, 0.9831, 0.03793, 0.002658, 2.416E-4, 0.8688, 1.0, 0.2004, 12.41, 0.006806, 0.006806
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-19-21-22_mid--AUDIO-from_mp3_19_R2_2015_wav--3.midi",0.06373, 0.2104, 0.8688, 0.8668, 13.45, 3.411, 2.0, 0.1791, 0.7247, 0.04073, 0.006869, 0.02355, 0.3064, 0.1298, 0.01963, 0.05716, 0.05741, 0.02601, 0.05962, 0.2797, 0.3964, 18.72, 0.6951, 0.8244, 0.2866, 0.03842, 0.002712, 0.4945, 1.0, 0.6313, 2.472, 0.006517, 0.006517
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--2.midi",0.09074, 0.2377, 0.9372, 0.7907, 12.03, 3.363, 9.0, 0.1481, 0.5497, 0.008592, 0.01473, 0.04624, 0.1526, 0.07242, 0.005728, 0.06588, 0.1121, 0.03396, 0.1481, 0.3543, 0.428, 18.61, 0.4286, 0.7099, 0.5421, 0.03948, 0.01405, 0.2813, 0.8826, 0.8613, 1.628, 0.007319, 0.007319
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_15_R2_2015_wav--3.midi",0.05725, 0.1736, 0.9917, 0.8881, 12.93, 3.389, 9.0, 0.1172, 0.5933, 0.04092, 0.05208, 0.1039, 0.1253, 0.05892, 0.02802, 0.05526, 0.1091, 0.04265, 0.1172, 0.3188, 0.4319, 20.55, 0.7858, 0.8781, 0.2006, 0.02799, 0.003568, 0.6277, 1.0, 0.5974, 7.794, 0.006409, 0.006409
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--1.midi",0.06377, 0.1613, 0.9832, 0.9136, 9.601, 3.483, 1.0, 0.1501, 0.6654, 0.01084, 0.09989, 0.25, 0.09817, 0.04224, 0.02397, 0.0371, 0.0879, 0.03767, 0.04053, 0.3716, 0.4755, 15.39, 0.2476, 0.5498, 0.6811, 0.1758, 0.02197, 0.3023, 0.5727, 1.21, 0.8536, 0.008981, 0.008981
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_20_R1_2015_wav--4.midi",0.05728, 0.1653, 0.9145, 0.7463, 14.51, 3.386, 9.0, 0.1196, 0.72, 0.005522, 0.05154, 0.1248, 0.1386, 0.06497, 0.03497, 0.03957, 0.0635, 0.0289, 0.1196, 0.3795, 0.4403, 23.12, 0.7365, 0.8468, 0.2358, 0.04439, 0.01126, 0.4463, 1.0, 0.8428, 2.588, 0.006249, 0.006249
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_11_R2_2015_wav--2.midi",0.1034, 0.1747, 0.7887, 0.8594, 9.132, 3.462, 1.0, 0.1953, 0.7697, 0.001184, 0.01026, 0.07024, 0.3457, 0.1409, 0.03591, 0.04499, 0.04933, 0.02289, 0.08682, 0.2021, 0.4678, 13.41, 0.6022, 0.7477, 0.3038, 0.1244, 0.01014, 0.3218, 0.8715, 1.117, 1.179, 0.006534, 0.006534
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_08_R2_2015_wav--2.midi",0.07527, 0.1772, 0.8481, 0.9113, 13.31, 3.566, 9.0, 0.1154, 0.7714, 0.01107, 0.04699, 0.1154, 0.1507, 0.05158, 0.0269, 0.04477, 0.08495, 0.02622, 0.1154, 0.373, 0.4591, 22.02, 0.5741, 0.7434, 0.4018, 0.04637, 0.008099, 0.2995, 0.9168, 0.8815, 1.028, 0.006277, 0.006277
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_19_R1_2015_wav--1.midi",0.06245, 0.158, 0.9603, 0.9529, 9.877, 3.374, 1.0, 0.1554, 0.465, 0.01131, 0.07224, 0.2276, 0.114, 0.04178, 0.01871, 0.04787, 0.09748, 0.03177, 0.03742, 0.3721, 0.4494, 16.65, 0.4648, 0.5649, 0.4801, 0.1013, 0.01199, 0.2531, 1.0, 1.034, 1.345, 0.007425, 0.007425
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_18_R1_2015_wav--2.midi",0.03928, 0.1661, 0.9921, 0.743, 16.5, 3.481, 2.0, 0.09533, 0.9896, 0.003641, 0.02747, 0.05263, 0.1599, 0.09434, 0.06455, 0.08044, 0.08805, 0.03972, 0.06918, 0.3476, 0.4571, 19.82, 0.9267, 0.9749, 0.07176, 0.006805, 3.093E-4, 0.6867, 1.0, 0.2509, 4.494, 0.006441, 0.006441
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_06_R1_2015_wav--4.midi",0.05705, 0.1759, 0.7778, 0.9189, 16.03, 3.491, 9.0, 0.1437, 0.5897, 0.01981, 0.05666, 0.09258, 0.1373, 0.05113, 0.03224, 0.05067, 0.08798, 0.04007, 0.1437, 0.3445, 0.422, 22.92, 0.9651, 0.9786, 0.03288, 0.002377, 0.001585, 0.8792, 1.0, 0.2762, 11.9, 0.006625, 0.006625
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_11_R2_2015_wav--1.midi",0.05169, 0.1848, 0.939, 0.9748, 14.92, 3.563, 1.0, 0.134, 0.7928, 0.01186, 0.06635, 0.1726, 0.1887, 0.04848, 0.02507, 0.03302, 0.05779, 0.02116, 0.08601, 0.3553, 0.482, 22.53, 0.7836, 0.8825, 0.2024, 0.02633, 6.856E-4, 0.4888, 1.0, 0.4899, 6.639, 0.006478, 0.006478
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D1-2-3-6-7-8-11_mid--AUDIO-from_mp3_08_R2_2015_wav--1.midi",0.0502, 0.1864, 0.9676, 0.9447, 15.0, 3.568, 1.0, 0.1326, 0.8217, 0.0113, 0.06617, 0.1752, 0.1905, 0.04952, 0.02781, 0.03182, 0.05204, 0.01799, 0.08803, 0.3558, 0.4735, 22.19, 0.7787, 0.8711, 0.1995, 0.03148, 0.002578, 0.4536, 1.0, 0.5876, 3.262, 0.006455, 0.006455
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_07_R1_2015_wav--4.midi",0.05885, 0.1698, 0.9308, 0.7403, 14.41, 3.394, 9.0, 0.127, 0.6589, 0.005531, 0.0531, 0.127, 0.1337, 0.0601, 0.03816, 0.04369, 0.05937, 0.02286, 0.127, 0.3826, 0.4388, 22.65, 0.7949, 0.8876, 0.1905, 0.02663, 0.007123, 0.4876, 1.0, 0.7711, 2.209, 0.006405, 0.006405
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_19_R1_2015_wav--2.midi",0.05908, 0.1651, 0.9752, 0.8844, 10.88, 3.467, 1.0, 0.1986, 0.6819, 0.0261, 0.1074, 0.306, 0.2144, 0.04652, 0.03026, 0.05257, 0.08207, 0.03896, 0.05787, 0.1452, 0.4326, 12.85, 0.702, 0.847, 0.2763, 0.03523, 0.002936, 0.3644, 1.0, 0.7514, 3.856, 0.006495, 0.006495
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_21_R1_2015_wav--4.midi",0.07465, 0.2085, 0.9369, 0.9194, 10.69, 3.445, 5.0, 0.09271, 0.7951, 0.01064, 0.03267, 0.07447, 0.09878, 0.05927, 0.04331, 0.09271, 0.1292, 0.05319, 0.07371, 0.3647, 0.4631, 18.83, 0.8137, 0.8729, 0.1816, 0.008742, 0.0, 0.6705, 1.0, 0.381, 3.058, 0.006083, 0.006083
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_08_R1_2015_wav--3.midi",0.03888, 0.1657, 0.9683, 0.7505, 16.58, 3.488, 2.0, 0.09195, 0.9786, 0.003599, 0.01963, 0.04777, 0.1499, 0.09195, 0.05857, 0.07297, 0.0926, 0.04516, 0.07232, 0.3652, 0.4663, 20.02, 0.8969, 0.9448, 0.09472, 0.01203, 0.001543, 0.6023, 1.0, 0.4229, 2.141, 0.006375, 0.006375
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_01_R1_2015_wav--5.midi",0.09399, 0.2817, 0.7931, 0.4142, 15.8, 3.298, 11.0, 0.1714, 0.8235, 0.0327, 0.1411, 0.2027, 0.07902, 0.02752, 0.01798, 0.03052, 0.06322, 0.0346, 0.1714, 0.3403, 0.4814, 20.78, 0.9786, 0.9928, 0.0187, 0.002992, 0.0, 0.8828, 1.0, 0.2058, 15.09, 0.006449, 0.006446
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_12_R1_2015_wav--3.midi",0.09944, 0.1652, 0.8362, 0.932, 9.687, 3.5, 9.0, 0.09535, 0.9817, 0.07907, 0.01395, 0.08256, 0.1512, 0.06744, 0.04535, 0.07093, 0.1186, 0.02442, 0.0936, 0.2669, 0.5246, 16.11, 0.5944, 0.6831, 0.3573, 0.09719, 0.01292, 0.3129, 1.0, 1.082, 1.144, 0.00643, 0.00643
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_02_R1_2015_wav--5.midi",0.05458, 0.1345, 0.9643, 0.9565, 13.21, 3.404, 1.0, 0.1447, 0.9853, 0.02979, 0.05638, 0.1989, 0.2202, 0.0766, 0.02872, 0.07766, 0.04681, 0.02979, 0.1117, 0.1798, 0.4638, 16.72, 0.7953, 0.8596, 0.1754, 0.06335, 0.003899, 0.7495, 1.0, 0.848, 5.639, 0.007389, 0.007389
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-13-20_mid--AUDIO-from_mp3_15_R1_2015_wav--5.midi",0.05557, 0.1433, 0.9212, 0.9389, 13.3, 3.547, 10.0, 0.1181, 0.8847, 0.01416, 0.0686, 0.1731, 0.1188, 0.06235, 0.02593, 0.06088, 0.08976, 0.04727, 0.1181, 0.2897, 0.4569, 18.37, 0.6591, 0.7856, 0.3142, 0.04412, 0.002526, 0.4471, 1.0, 0.7055, 3.007, 0.00625, 0.00625
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_11_R1_2015_wav--3.midi",0.06223, 0.1766, 0.9538, 0.981, 14.73, 3.402, 11.0, 0.154, 0.9934, 5.118E-4, 0.154, 0.2815, 0.109, 0.0998, 0.02047, 0.0435, 0.02764, 0.03122, 0.153, 0.2334, 0.4557, 19.91, 0.8573, 0.8961, 0.123, 0.0426, 0.002393, 0.6027, 1.0, 0.5713, 2.8, 0.006427, 0.006427
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R2_D2-12-13-15_mid--AUDIO-from_mp3_12_R2_2015_wav--1.midi",0.05054, 0.1835, 0.9519, 0.9647, 14.97, 3.568, 1.0, 0.1321, 0.8162, 0.01375, 0.06746, 0.1753, 0.1902, 0.0499, 0.02649, 0.03234, 0.05312, 0.01829, 0.09189, 0.3487, 0.4786, 22.34, 0.8547, 0.922, 0.1357, 0.01784, 0.0, 0.5278, 1.0, 0.3908, 3.636, 0.006544, 0.006544
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-1-8_mid--AUDIO-from_mp3_04_R1_2015_wav--4.midi",0.08051, 0.2344, 0.8241, 0.7997, 13.39, 3.388, 4.0, 0.1373, 0.946, 0.02536, 0.01249, 0.02887, 0.05853, 0.04331, 0.02536, 0.07296, 0.1131, 0.02653, 0.1373, 0.4686, 0.4852, 15.38, 0.94, 0.9899, 0.06001, 3.727E-4, 0.0, 0.7462, 1.0, 0.1189, 3.143, 0.006565, 0.006565
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D2-21-22_mid--AUDIO-from_mp3_22_R1_2015_wav--4.midi",0.05546, 0.1577, 0.9216, 0.8897, 12.85, 3.17, 6.0, 0.1008, 0.663, 0.007238, 0.0284, 0.06682, 0.1264, 0.03786, 0.03229, 0.04009, 0.1576, 0.0412, 0.06125, 0.4293, 0.3898, 21.61, 0.398, 0.6852, 0.5536, 0.07558, 0.01523, 0.2871, 0.7973, 1.095, 1.099, 0.006191, 0.006191
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_10_R1_2015_wav--3.midi",0.05241, 0.1784, 0.8895, 0.8219, 15.01, 3.451, 9.0, 0.1398, 0.6496, 0.03077, 0.05735, 0.1327, 0.2154, 0.06727, 0.0288, 0.04233, 0.08688, 0.02593, 0.09082, 0.279, 0.4734, 17.73, 0.7803, 0.8629, 0.2022, 0.03984, 0.001371, 0.5394, 1.0, 0.6104, 4.207, 0.006418, 0.006418
"/Users/aybukeekiz/Desktop/maestro-v3.0.0/2015/MIDI-Unprocessed_R1_D1-9-12_mid--AUDIO-from_mp3_09_R1_2015_wav--3.midi",0.0419, 0.1543, 0.9592, 0.9972, 15.58, 3.444, 1.0, 0.1797, 0.3975, 0.003549, 0.07143, 0.2511, 0.09139, 0.04614, 0.01908, 0.05324, 0.06167, 0.02218, 0.06921, 0.3824, 0.4559, 20.56, 0.9337, 0.9611, 0.06456, 0.008978, 0.0, 0.6238, 1.0, 0.2636, 2.575, 0.006496, 0.006496
